Fuente,Fecha,Ciudad,Nombre Completo,Producto Interesado,País,Continente,ID Candidato,conteo,Dates,Mes,Day
meta,2024-01-13 08:51:57+00:00,Quinnfort,Carly Schneider,policy,Tajikistan,Europa,1,1,2024-01-13 08:51:57+00:00,1,13
twitter,2024-01-12 00:41:14+00:00,Juliafurt,Christine Harrison,score,Taiwan,Europa,2,1,2024-01-12 00:41:14+00:00,1,12
meta,2024-01-12 21:44:13+00:00,Stephenschester,Tracy Crosby,down,Wallis and Futuna,América,3,1,2024-01-12 21:44:13+00:00,1,12
twitter,2024-02-03 10:29:10+00:00,Dianeview,Sara Miranda,even,Japan,América,5,1,2024-02-03 10:29:10+00:00,2,3
meta,2024-01-31 17:06:09+00:00,North Jose,Aaron Smith,her,Kuwait,Europa,7,1,2024-01-31 17:06:09+00:00,1,31
twitter,2024-01-27 18:39:00+00:00,North Derekhaven,Edward Jacobs,such,Niue,América,9,1,2024-01-27 18:39:00+00:00,1,27
meta,2024-02-17 03:49:09+00:00,East Alicia,Tyler Munoz,pretty,Armenia,Asia,11,1,2024-02-17 03:49:09+00:00,2,17
twitter,2024-01-11 06:46:24+00:00,North Michellemouth,Joseph Kramer,risk,New Zealand,Oceanía,12,1,2024-01-11 06:46:24+00:00,1,11
tiktok,2024-01-19 04:23:50+00:00,North Matthewville,Debra Edwards,rate,Solomon Islands,Europa,13,1,2024-01-19 04:23:50+00:00,1,19
tiktok,2024-02-21 19:58:39+00:00,South Todd,Taylor Duran,here,Martinique,Oceanía,14,1,2024-02-21 19:58:39+00:00,2,21
tiktok,2024-02-13 12:33:06+00:00,Port Rachelton,Brandon Hoffman,hot,Chad,América,16,1,2024-02-13 12:33:06+00:00,2,13
meta,2024-01-19 01:40:39+00:00,Port Michaelmouth,Mary Nguyen,despite,Malawi,Europa,17,1,2024-01-19 01:40:39+00:00,1,19
meta,2024-02-25 12:29:58+00:00,Lake Edwardshire,Timothy Hayes,cup,Yemen,Oceanía,18,1,2024-02-25 12:29:58+00:00,2,25
tiktok,2024-01-12 11:45:53+00:00,North Sierra,Eric Williams,reveal,Italy,América,19,1,2024-01-12 11:45:53+00:00,1,12
twitter,2024-02-08 01:33:23+00:00,Olsonland,Sandra Williams,anything,Luxembourg,África,20,1,2024-02-08 01:33:23+00:00,2,8
meta,2024-02-04 03:04:30+00:00,South Jessica,Tamara Duncan,admit,South Africa,Asia,21,1,2024-02-04 03:04:30+00:00,2,4
tiktok,2024-01-10 03:16:13+00:00,New Victoria,Angela Taylor,make,Turkmenistan,Oceanía,23,1,2024-01-10 03:16:13+00:00,1,10
tiktok,2024-02-22 20:13:25+00:00,Lake Edwardport,Michael Mathis,student,British Virgin Islands,Asia,24,1,2024-02-22 20:13:25+00:00,2,22
tiktok,2024-02-22 18:25:36+00:00,Millerville,Jordan Miller,field,Angola,América,26,1,2024-02-22 18:25:36+00:00,2,22
twitter,2024-02-19 00:01:54+00:00,New Patricia,Daisy Wood,political,Macao,Oceanía,27,1,2024-02-19 00:01:54+00:00,2,19
tiktok,2024-01-29 13:56:26+00:00,Hernandezview,Joshua Byrd,wife,United States Minor Outlying Islands,Asia,28,1,2024-01-29 13:56:26+00:00,1,29
twitter,2024-02-16 20:07:26+00:00,Lake William,Michelle Osborne,beat,Mozambique,Europa,29,1,2024-02-16 20:07:26+00:00,2,16
meta,2024-01-08 09:54:58+00:00,North Eddie,Tina Smith,guy,Mozambique,Europa,30,1,2024-01-08 09:54:58+00:00,1,8
tiktok,2024-02-05 09:22:28+00:00,North Robinport,Alexander Walker,test,Bouvet Island (Bouvetoya),América,33,1,2024-02-05 09:22:28+00:00,2,5
twitter,2024-01-31 21:39:56+00:00,Andersonbury,Carrie Meyers,whose,Australia,Asia,34,1,2024-01-31 21:39:56+00:00,1,31
meta,2024-01-23 23:28:55+00:00,Johnfurt,Thomas Williams,top,Montserrat,Asia,35,1,2024-01-23 23:28:55+00:00,1,23
twitter,2024-01-03 20:32:58+00:00,Grantshire,Alec Ryan,recognize,Liechtenstein,Asia,36,1,2024-01-03 20:32:58+00:00,1,3
meta,2024-01-27 22:56:40+00:00,Christophershire,Rebecca Smith,table,Ukraine,América,37,1,2024-01-27 22:56:40+00:00,1,27
meta,2024-02-05 23:19:36+00:00,Port Tammy,Robert Patel,various,Svalbard & Jan Mayen Islands,Oceanía,38,1,2024-02-05 23:19:36+00:00,2,5
